ident;type;name;continent;iso_country
BG-JAM;medium_airport;Bezmer Air Base;EU;BG
BIAR;medium_airport;Akureyri Airport;EU;IS
BIEG;medium_airport;Egilsstaðir Airport;EU;IS
BIHN;medium_airport;Hornafjörður Airport;EU;IS
BIHU;medium_airport;Húsavík Airport;EU;IS
BIIS;medium_airport;Ísafjörður Airport;EU;IS
BIKF;large_airport;Keflavik International Airport;EU;IS
BIRK;medium_airport;Reykjavik Airport;EU;IS
BISI;medium_airport;Siglufjörður Airport;EU;IS
BIVM;medium_airport;Vestmannaeyjar Airport;EU;IS
BKPR;medium_airport;Priština Adem Jashari International Airport;EU;XK
BY-0001;medium_airport;Orsha Airport - Balbasovo Air Base;EU;BY
BY-0003;medium_airport;Bobrovichi Air Base;EU;BY
BY-0006;medium_airport;Osovtsy Air Base;EU;BY
EBAW;medium_airport;Antwerp International Airport (Deurne);EU;BE
EBBE;medium_airport;Beauvechain Air Base;EU;BE
EBBL;medium_airport;Kleine Brogel Air Base;EU;BE
EBBR;large_airport;Brussels Airport;EU;BE
EBCI;medium_airport;Brussels South Charleroi Airport;EU;BE
EBCV;medium_airport;Chièvres Air Base;EU;BE
EBFN;medium_airport;Koksijde Air Base;EU;BE
EBFS;medium_airport;Florennes Air Base;EU;BE
EBKT;medium_airport;Wevelgem Airport;EU;BE
EBLG;medium_airport;Liège Airport;EU;BE
EBOS;medium_airport;Ostend-Bruges International Airport;EU;BE
EDAC;medium_airport;Altenburg-Nobitz Airport;EU;DE
EDAH;medium_airport;Heringsdorf Airport;EU;DE
EDBN;medium_airport;Neubrandenburg Airport;EU;DE
EDBR;medium_airport;Rothenburg/Görlitz Airfield;EU;DE
EDDB;large_airport;Berlin Brandenburg Airport;EU;DE
EDDC;medium_airport;Dresden Airport;EU;DE
EDDE;medium_airport;Erfurt Airport;EU;DE
EDDF;large_airport;Frankfurt Airport;EU;DE
EDDG;medium_airport;Münster Osnabrück Airport;EU;DE
EDDH;large_airport;Hamburg Helmut Schmidt Airport;EU;DE
EDDK;large_airport;Cologne Bonn Airport;EU;DE
EDDL;large_airport;Düsseldorf Airport;EU;DE
EDDM;large_airport;Munich Airport;EU;DE
EDDN;large_airport;Nuremberg Airport;EU;DE
EDDP;large_airport;Leipzig/Halle Airport;EU;DE
EDDR;medium_airport;Saarbrücken Airport;EU;DE
EDDS;large_airport;Stuttgart Airport;EU;DE
EDDV;large_airport;Hannover Airport;EU;DE
EDDW;medium_airport;Bremen Airport;EU;DE
EDFE;medium_airport;Frankfurt-Egelsbach Airport;EU;DE
EDFH;medium_airport;Frankfurt-Hahn Airport;EU;DE
EDFM;medium_airport;Mannheim-City Airport;EU;DE
EDFZ;medium_airport;Mainz-Finthen Airport;EU;DE
EDGE;medium_airport;Eisenach-Kindel Airport;EU;DE
EDGS;medium_airport;Siegerland Airport;EU;DE
EDHI;medium_airport;Hamburg-Finkenwerder Airport;EU;DE
EDHK;medium_airport;Kiel-Holtenau Airport;EU;DE
EDHL;medium_airport;Lübeck Blankensee Airport;EU;DE
EDJA;medium_airport;Memmingen Allgau Airport;EU;DE
EDLN;medium_airport;Mönchengladbach Airport;EU;DE
EDLP;medium_airport;Paderborn Lippstadt Airport;EU;DE
EDLV;medium_airport;Weeze Airport;EU;DE
EDLW;medium_airport;Dortmund Airport;EU;DE
EDMA;medium_airport;Augsburg Airport;EU;DE
EDMO;medium_airport;Oberpfaffenhofen Airport;EU;DE
EDNY;medium_airport;Friedrichshafen Airport;EU;DE
EDOP;medium_airport;Schwerin Parchim Airport;EU;DE
EDQA;medium_airport;Bamberg-Breitenau Airfield;EU;DE
EDQD;medium_airport;Bayreuth Airport;EU;DE
EDQM;medium_airport;Hof-Plauen Airport;EU;DE
EDSB;medium_airport;Karlsruhe Baden-Baden Airport;EU;DE
EDTD;medium_airport;Flugplatz Donaueschingen-Villingen;EU;DE
EDTL;medium_airport;Lahr Airport;EU;DE
EDTY;medium_airport;Adolf Würth Airport;EU;DE
EDUZ;medium_airport;Flugplatz Zerbst;EU;DE
EDVE;medium_airport;Braunschweig-Wolfsburg Airport;EU;DE
EDVK;medium_airport;Kassel-Calden Airport;EU;DE
EDXW;medium_airport;Westerland Sylt Airport;EU;DE
EEEI;medium_airport;Ämari Air Base;EU;EE
EEKA;medium_airport;Kärdla Airport;EU;EE
EEKE;medium_airport;Kuressaare Airport;EU;EE
EEPU;medium_airport;Pärnu Airport;EU;EE
EETN;large_airport;Lennart Meri Tallinn Airport;EU;EE
EETU;medium_airport;Tartu Airport;EU;EE
EFET;medium_airport;Enontekio Airport;EU;FI
EFHA;medium_airport;Halli Airport;EU;FI
EFHK;large_airport;Helsinki Vantaa Airport;EU;FI
EFIT;medium_airport;Kitee Airport;EU;FI
EFIV;medium_airport;Ivalo Airport;EU;FI
EFJO;medium_airport;Joensuu Airport;EU;FI
EFJY;medium_airport;Jyväskylä Airport;EU;FI
EFKA;medium_airport;Kauhava Airfield;EU;FI
EFKE;medium_airport;Kemi-Tornio Airport;EU;FI
EFKI;medium_airport;Kajaani Airport;EU;FI
EFKJ;medium_airport;Kauhajoki Airfield;EU;FI
EFKK;medium_airport;Kokkola-Pietarsaari Airport;EU;FI
EFKS;medium_airport;Kuusamo Airport;EU;FI
EFKT;medium_airport;Kittilä Airport;EU;FI
EFKU;medium_airport;Kuopio Airport;EU;FI
EFLP;medium_airport;Lappeenranta Airport;EU;FI
EFMA;medium_airport;Mariehamn Airport;EU;FI
EFMI;medium_airport;Mikkeli Airport;EU;FI
EFOU;medium_airport;Oulu Airport;EU;FI
EFPO;medium_airport;Pori Airport;EU;FI
EFPR;medium_airport;Helsinki East-Redstone Airport;EU;FI
EFRO;medium_airport;Rovaniemi Airport;EU;FI
EFSA;medium_airport;Savonlinna Airport;EU;FI
EFSI;medium_airport;Seinäjoki Airport;EU;FI
EFSO;medium_airport;Sodankyla Airport;EU;FI
EFTP;medium_airport;Tampere-Pirkkala Airport;EU;FI
EFTU;medium_airport;Turku Airport;EU;FI
EFUT;medium_airport;Utti Air Base;EU;FI
EFVA;medium_airport;Vaasa Airport;EU;FI
EFVR;medium_airport;Varkaus Airport;EU;FI
EFYL;medium_airport;Ylivieska Airfield;EU;FI
EGAA;large_airport;Belfast International Airport;EU;GB
EGAB;medium_airport;Enniskillen/St Angelo Airport;EU;GB
EGAC;medium_airport;George Best Belfast City Airport;EU;GB
EGAE;medium_airport;City of Derry Airport;EU;GB
EGBB;large_airport;Birmingham International Airport;EU;GB
EGBE;medium_airport;Coventry Airport;EU;GB
EGBJ;medium_airport;Gloucestershire Airport;EU;GB
EGBN;medium_airport;Nottingham Airport;EU;GB
EGCC;large_airport;Manchester Airport;EU;GB
EGDC;medium_airport;Royal Marines Base Chivenor Airport;EU;GB
EGDM;medium_airport;MoD Boscombe Down Airport;EU;GB
EGDR;medium_airport;RNAS Culdrose;EU;GB
EGDX;medium_airport;St. Athan Airport;EU;GB
EGDY;medium_airport;RNAS Yeovilton;EU;GB
EGEC;medium_airport;Campbeltown Airport;EU;GB
EGED;medium_airport;Eday Airport;EU;GB
EGFE;medium_airport;Haverfordwest Airport;EU;GB
EGFF;medium_airport;Cardiff International Airport;EU;GB
EGFH;medium_airport;Swansea Airport;EU;GB
EGGD;medium_airport;Bristol Airport;EU;GB
EGGP;medium_airport;Liverpool John Lennon Airport;EU;GB
EGGW;large_airport;London Luton Airport;EU;GB
EGHH;medium_airport;Bournemouth Airport;EU;GB
EGHI;medium_airport;Southampton Airport;EU;GB
EGHL;medium_airport;Lasham Airfield;EU;GB
EGHQ;medium_airport;Cornwall Airport Newquay;EU;GB
EGJA;medium_airport;Alderney Airport;EU;GG
EGJB;medium_airport;Guernsey Airport;EU;GG
EGJJ;medium_airport;Jersey Airport;EU;JE
EGKA;medium_airport;Shoreham Airport;EU;GB
EGKB;medium_airport;London Biggin Hill Airport;EU;GB
EGKK;large_airport;London Gatwick Airport;EU;GB
EGLC;medium_airport;London City Airport;EU;GB
EGLF;medium_airport;Farnborough Airport;EU;GB
EGLK;medium_airport;Blackbushe Airport;EU;GB
EGLL;large_airport;London Heathrow Airport;EU;GB
EGMC;medium_airport;Southend Airport;EU;GB
EGMD;medium_airport;Lydd Airport;EU;GB
EGNC;medium_airport;Carlisle Airport;EU;GB
EGNH;medium_airport;Blackpool International Airport;EU;GB
EGNJ;medium_airport;Humberside Airport;EU;GB
EGNL;medium_airport;Barrow Walney Island Airport;EU;GB
EGNM;medium_airport;Leeds Bradford Airport;EU;GB
EGNO;medium_airport;Warton Aerodrome;EU;GB
EGNR;medium_airport;Hawarden Airport;EU;GB
EGNS;medium_airport;Isle of Man Airport;EU;IM
EGNT;medium_airport;Newcastle Airport;EU;GB
EGNV;medium_airport;Teesside International Airport;EU;GB
EGNX;medium_airport;East Midlands Airport;EU;GB
EGOM;medium_airport;RAF Spadeadam;EU;GB
EGOS;medium_airport;RAF Shawbury;EU;GB
EGOV;medium_airport;Anglesey Airport;EU;GB
EGPA;medium_airport;Kirkwall Airport;EU;GB
EGPB;medium_airport;Sumburgh Airport;EU;GB
EGPC;medium_airport;Wick Airport;EU;GB
EGPD;medium_airport;Aberdeen Dyce Airport;EU;GB
EGPE;medium_airport;Inverness Airport;EU;GB
EGPF;large_airport;Glasgow International Airport;EU;GB
EGPH;large_airport;Edinburgh Airport;EU;GB
EGPI;medium_airport;Islay Airport;EU;GB
EGPK;medium_airport;Glasgow Prestwick Airport;EU;GB
EGPL;medium_airport;Benbecula Airport;EU;GB
EGPN;medium_airport;Dundee Airport;EU;GB
EGPO;medium_airport;Stornoway Airport;EU;GB
EGPR;medium_airport;Barra Airport;EU;GB
EGPU;medium_airport;Tiree Airport;EU;GB
EGQL;medium_airport;Leuchars Station Airfield;EU;GB
EGQS;medium_airport;RAF Lossiemouth;EU;GB
EGSC;medium_airport;Cambridge Airport;EU;GB
EGSH;medium_airport;Norwich Airport;EU;GB
EGSS;large_airport;London Stansted Airport;EU;GB
EGTC;medium_airport;Cranfield Airport;EU;GB
EGTE;medium_airport;Exeter International Airport;EU;GB
EGTK;medium_airport;Oxford (Kidlington) Airport;EU;GB
EGUB;medium_airport;RAF Benson;EU;GB
EGUL;medium_airport;RAF Lakenheath;EU;GB
EGUN;medium_airport;RAF Mildenhall;EU;GB
EGUW;medium_airport;Wattisham Airfield;EU;GB
EGVA;medium_airport;RAF Fairford;EU;GB
EGVN;medium_airport;RAF Brize Norton;EU;GB
EGVO;medium_airport;RAF Odiham;EU;GB
EGWC;medium_airport;DCAE Cosford Air Base;EU;GB
EGWU;medium_airport;RAF Northolt;EU;GB
EGXC;medium_airport;RAF Coningsby;EU;GB
EGXE;medium_airport;RAF Leeming Air Base;EU;GB
EGXG;medium_airport;Leeds East Airport;EU;GB
EGXH;medium_airport;RAF Honington;EU;GB
EGXP;medium_airport;RAF Scampton;EU;GB
EGXT;medium_airport;RAF Wittering;EU;GB
EGXW;medium_airport;RAF Waddington;EU;GB
EGXZ;medium_airport;RAF Topcliffe;EU;GB
EGYD;medium_airport;RAF Cranwell;EU;GB
EGYE;medium_airport;RAF Barkston Heath;EU;GB
EGYM;medium_airport;RAF Marham;EU;GB
EHAM;large_airport;Amsterdam Airport Schiphol;EU;NL
EHBD;medium_airport;Kempen Airport Budel;EU;NL
EHBK;medium_airport;Maastricht Aachen Airport;EU;NL
EHDL;medium_airport;Deelen Air Base;EU;NL
EHDP;medium_airport;De Peel Air Base;EU;NL
EHEH;large_airport;Eindhoven Airport;EU;NL
EHGG;medium_airport;Groningen Airport Eelde;EU;NL
EHGR;medium_airport;Gilze Rijen Air Base;EU;NL
EHKD;medium_airport;De Kooy Airfield / Den Helder Naval Air Station;EU;NL
EHLE;medium_airport;Lelystad Airport;EU;NL
EHLW;medium_airport;Leeuwarden Air Base;EU;NL
EHRD;medium_airport;Rotterdam The Hague Airport;EU;NL
EHTW;medium_airport;Twente Airport;EU;NL
EHVK;medium_airport;Volkel Air Base;EU;NL
EHWO;medium_airport;Woensdrecht Air Base;EU;NL
EICK;medium_airport;Cork Airport;EU;IE
EICM;medium_airport;Galway Airport;EU;IE
EIDL;medium_airport;Donegal Airport;EU;IE
EIDW;large_airport;Dublin Airport;EU;IE
EIKN;medium_airport;Ireland West Knock Airport;EU;IE
EIKY;medium_airport;Kerry Airport;EU;IE
EIME;medium_airport;Casement Air Base;EU;IE
EINN;large_airport;Shannon Airport;EU;IE
EISG;medium_airport;Sligo Airport;EU;IE
EIWF;medium_airport;Waterford Airport;EU;IE
EIWT;medium_airport;Weston Airfield;EU;IE
EKAH;medium_airport;Aarhus Airport;EU;DK
EKBI;large_airport;Billund Airport;EU;DK
EKCH;large_airport;Copenhagen Kastrup Airport;EU;DK
EKEB;medium_airport;Esbjerg Airport;EU;DK
EKKA;medium_airport;Karup Airport;EU;DK
EKMB;medium_airport;Lolland Falster Maribo Airport;EU;DK
EKOD;medium_airport;Odense Airport;EU;DK
EKRK;medium_airport;Copenhagen Roskilde Airport;EU;DK
EKRN;medium_airport;Bornholm Airport;EU;DK
EKSB;medium_airport;Sønderborg Airport;EU;DK
EKSN;medium_airport;Sindal Airport;EU;DK
EKSP;medium_airport;Skrydstrup Air Base;EU;DK
EKSV;medium_airport;Skive Airport;EU;DK
EKTS;medium_airport;Thisted Airport;EU;DK
EKVD;medium_airport;Kolding Vamdrup Airfield;EU;DK
EKVG;medium_airport;Vágar Airport;EU;FO
EKVJ;medium_airport;Stauning Airport;EU;DK
EKYT;medium_airport;Aalborg Airport;EU;DK
ELLX;large_airport;Luxembourg-Findel International Airport;EU;LU
ENAL;medium_airport;Ålesund Airport, Vigra;EU;NO
ENAN;medium_airport;Andøya Airport, Andenes;EU;NO
ENAT;medium_airport;Alta Airport;EU;NO
ENBN;medium_airport;Brønnøysund Airport, Brønnøy;EU;NO
ENBO;medium_airport;Bodø Airport;EU;NO
ENBR;large_airport;Bergen Airport, Flesland;EU;NO
ENBS;medium_airport;Båtsfjord Airport;EU;NO
ENBV;medium_airport;Berlevåg Airport;EU;NO
ENCN;medium_airport;Kristiansand Airport, Kjevik;EU;NO
ENDU;medium_airport;Bardufoss Airport;EU;NO
ENEN;medium_airport;Engeløy Airport;EU;NO
ENEV;medium_airport;Harstad/Narvik Airport, Evenes;EU;NO
ENFG;medium_airport;Fagernes Airport, Leirin;EU;NO
ENFL;medium_airport;Florø Airport;EU;NO
ENGM;large_airport;Oslo Airport, Gardermoen;EU;NO
ENHD;medium_airport;Haugesund Airport, Karmøy;EU;NO
ENHF;medium_airport;Hammerfest Airport;EU;NO
ENHV;medium_airport;Honningsvåg Airport, Valan;EU;NO
ENKB;medium_airport;Kristiansund Airport, Kvernberget;EU;NO
ENKR;medium_airport;Kirkenes Airport, Høybuktmoen;EU;NO
ENLK;medium_airport;Leknes Airport;EU;NO
ENMH;medium_airport;Mehamn Airport;EU;NO
ENML;medium_airport;Molde Airport, Årø;EU;NO
ENMS;medium_airport;Mosjøen Airport, Kjærstad;EU;NO
ENNA;medium_airport;Lakselv Airport, Banak;EU;NO
ENNO;medium_airport;Notodden Airport;EU;NO
ENOL;medium_airport;Ørland Airport;EU;NO
ENOV;medium_airport;Ørsta-Volda Airport, Hovden;EU;NO
ENRA;medium_airport;Mo i Rana Airport, Røssvoll;EU;NO
ENRM;medium_airport;Rørvik Airport, Ryum;EU;NO
ENRO;medium_airport;Røros Airport;EU;NO
ENRY;medium_airport;Moss Airport, Rygge;EU;NO
ENSB;medium_airport;Svalbard Airport, Longyear;EU;NO
ENSH;medium_airport;Svolvær Airport, Helle;EU;NO
ENSK;medium_airport;Stokmarknes Airport, Skagen;EU;NO
ENSN;medium_airport;Skien Airport;EU;NO
ENSO;medium_airport;Stord Airport, Sørstokken;EU;NO
ENSR;medium_airport;Sørkjosen Airport;EU;NO
ENSS;medium_airport;Vardø Airport, Svartnes;EU;NO
ENST;medium_airport;Sandnessjøen Airport, Stokka;EU;NO
ENTC;large_airport;Tromsø Airport, Langnes;EU;NO
ENTO;medium_airport;Sandefjord Airport, Torp;EU;NO
ENVA;large_airport;Trondheim Airport, Værnes;EU;NO
ENVD;medium_airport;Vadsø Airport;EU;NO
ENZV;large_airport;Stavanger Airport, Sola;EU;NO
EPBY;medium_airport;Bydgoszcz Ignacy Jan Paderewski Airport;EU;PL
EPCE;medium_airport;Cewice Air Base;EU;PL
EPDE;medium_airport;Deblin Military Air Base;EU;PL
EPGD;large_airport;Gdańsk Lech Wałęsa Airport;EU;PL
EPIR;medium_airport;Inowroclaw Military Air Base;EU;PL
EPKK;large_airport;Kraków John Paul II International Airport;EU;PL
EPKS;medium_airport;Krzesiny Military Air Base;EU;PL
EPKT;medium_airport;Katowice International Airport;EU;PL
EPLB;medium_airport;Lublin Airport;EU;PL
EPLK;medium_airport;Lask Military Air Base;EU;PL
EPLL;medium_airport;Łódź Władysław Reymont Airport;EU;PL
EPLS;medium_airport;Leszno-Strzyzewice Airport;EU;PL
EPLY;medium_airport;Leczyca Military Air Base;EU;PL
EPMB;medium_airport;22nd Air Base;EU;PL
EPMI;medium_airport;Miroslawiec Military Air Base;EU;PL
EPMM;medium_airport;Minsk Mazowiecki Military Air Base;EU;PL
EPMO;medium_airport;Modlin Airport;EU;PL
EPOK;medium_airport;Oksywie Military Air Base;EU;PL
EPPO;medium_airport;Poznań-Ławica Airport;EU;PL
EPPW;medium_airport;Powidz Military Air Base;EU;PL
EPRA;medium_airport;Radom Airport;EU;PL
EPRZ;medium_airport;Rzeszów-Jasionka Airport;EU;PL
EPSC;medium_airport;"Szczecin-Goleniów ""Solidarność"" Airport";EU;PL
EPSN;medium_airport;Swidwin Military Air Base;EU;PL
EPSY;medium_airport;Olsztyn-Mazury Airport;EU;PL
EPTM;medium_airport;Tomaszow Mazowiecki Military Air Base;EU;PL
EPWA;large_airport;Warsaw Chopin Airport;EU;PL
EPWR;medium_airport;Copernicus Wrocław Airport;EU;PL
EPZG;medium_airport;Zielona Góra-Babimost Airport;EU;PL
ES-0109;medium_airport;Folgueroles Airfield;EU;ES
ESCF;medium_airport;Malmen Air Base;EU;SE
ESDF;medium_airport;Ronneby Airport;EU;SE
ESFR;medium_airport;Råda Air Base;EU;SE
ESGG;large_airport;Gothenburg-Landvetter Airport;EU;SE
ESGJ;medium_airport;Jönköping Airport;EU;SE
ESGP;medium_airport;Gothenburg City Airport;EU;SE
ESGR;medium_airport;Skövde Airport;EU;SE
ESGT;medium_airport;Trollhättan-Vänersborg Airport;EU;SE
ESIB;medium_airport;Såtenäs Air Base;EU;SE
ESKK;medium_airport;Karlskoga Airport;EU;SE
ESKM;medium_airport;Mora Airport;EU;SE
ESKN;medium_airport;Stockholm Skavsta Airport;EU;SE
ESKS;medium_airport;Scandinavian Mountains Airport;EU;SE
ESMK;medium_airport;Kristianstad Airport;EU;SE
ESMQ;medium_airport;Kalmar Airport;EU;SE
ESMS;medium_airport;Malmö Sturup Airport;EU;SE
ESMT;medium_airport;Halmstad Airport;EU;SE
ESMX;medium_airport;Växjö Kronoberg Airport;EU;SE
ESND;medium_airport;Sveg Airport;EU;SE
ESNG;medium_airport;Gällivare Airport;EU;SE
ESNK;medium_airport;Kramfors-Sollefteå Höga Kusten Airport;EU;SE
ESNL;medium_airport;Lycksele Airport;EU;SE
ESNN;medium_airport;Sundsvall-Härnösand Airport;EU;SE
ESNO;medium_airport;Örnsköldsvik Airport;EU;SE
ESNQ;medium_airport;Kiruna Airport;EU;SE
ESNS;medium_airport;Skellefteå Airport;EU;SE
ESNU;medium_airport;Umeå Airport;EU;SE
ESNV;medium_airport;Vilhelmina South Lapland Airport;EU;SE
ESNX;medium_airport;Arvidsjaur Airport;EU;SE
ESNY;medium_airport;Söderhamn Airport;EU;SE
ESNZ;medium_airport;Åre Östersund Airport;EU;SE
ESOE;medium_airport;Örebro Airport;EU;SE
ESOH;medium_airport;Hagfors Airport;EU;SE
ESOK;medium_airport;Karlstad Airport;EU;SE
ESOW;medium_airport;Stockholm Västerås Airport;EU;SE
