ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay
LFLL,2021,49.108823529411765,273.66764705882355,322.77647058823527
EKCH,2021,47.80921052631579,224.8828947368421,272.6921052631579
LGKP,2021,252.83333333333334,730.1111111111111,982.9444444444445
EGPD,2021,75.13074204946996,339.36395759717317,414.4946996466431
EDDV,2020,-110.62721893491124,-69.47928994082841,-180.10650887573965
LOWW,2021,154.8027950310559,556.6242236024844,711.4270186335403
LZIB,2021,440.0,48.55555555555556,488.55555555555554
EGPF,2021,81.0340909090909,502.86742424242425,583.9015151515151
LIRA,2021,255.57142857142858,221.62857142857143,477.2
LEMH,2021,329.4,322.06666666666666,651.4666666666667
LIBR,2020,-106.16666666666667,-81.25,-187.41666666666666
EKBI,2021,-86.27462686567164,291.56119402985075,205.2865671641791
LKTB,2021,78.5,-287.5,-209.0
LGKF,2021,358.03846153846155,755.5384615384615,1113.576923076923
LFPO,2020,407.48275862068965,278.7586206896552,686.2413793103449
EDFH,2020,-1740.0,679.0,-1061.0
LFBZ,2021,-390.0,-679.5,-1069.5
EFKS,2020,-176.71428571428572,24.285714285714285,-152.42857142857142
LBSF,2020,-24.304347826086957,-81.18972332015811,-105.49407114624506
LGMT,2020,48.2,-250.8,-202.6
LGKR,2021,353.59090909090907,647.7121212121212,1001.3030303030303
LFTH,2020,-177.25,-423.25,-600.5
EETN,2021,44.56818181818182,453.07954545454544,497.64772727272725
EHEH,2021,335.57894736842104,515.6842105263158,851.2631578947369
LEGE,2021,54.35294117647059,202.05882352941177,256.4117647058824
LIPH,2021,214.3846153846154,-212.0,2.3846153846153846
LDRI,2021,146.66666666666666,355.6666666666667,502.3333333333333
ELLX,2021,11.9438202247191,266.17134831460675,278.11516853932585
EGNM,2021,90.89542483660131,295.27450980392155,386.16993464052285
LIBD,2020,123.35593220338983,273.3220338983051,396.6779661016949
EPLB,2020,-303.7916666666667,-116.79166666666667,-420.5833333333333
EPPO,2020,-383.53846153846155,-670.7179487179487,-1054.2564102564102
ENTO,2021,58.4390243902439,158.85365853658536,217.29268292682926
LFPG,2020,29.736526946107784,133.78922155688622,163.52574850299402
LOWW,2020,9.014285714285714,329.27755102040817,338.2918367346939
ESGG,2020,-107.86392405063292,109.88607594936708,2.0221518987341773
EPKT,2020,-453.0886075949367,-286.9240506329114,-740.0126582278481
LFMT,2020,-151.93650793650792,-216.53968253968253,-368.4761904761905
LEMH,2020,-480.0,-286.0,-766.0
EGSH,2021,-105.90697674418605,120.04651162790698,14.13953488372093
LEVX,2020,-300.0,-613.0,-913.0
LYPG,2021,600.0,558.0,1158.0
LEMD,2021,171.36063408190225,415.7318361955086,587.0924702774108
EHGG,2021,-59.07692307692308,264.5,205.42307692307693
ENVA,2020,-215.40769230769232,254.03846153846155,38.63076923076923
LIPX,2020,113.36111111111111,109.27777777777777,222.63888888888889
ESMS,2020,960.0,-550.0,410.0
EGSS,2021,-120.96,147.144,26.184
LWSK,2021,201.61764705882354,180.44117647058823,382.05882352941177
EDDG,2021,-60.0,-5629.0,-5689.0
EDDW,2020,-185.39716312056737,-152.60992907801418,-338.0070921985816
EDDH,2021,-8.060185185185185,-278.7199074074074,-286.7800925925926
EETN,2020,-185.87037037037038,116.44444444444444,-69.42592592592592
EGSS,2020,-283.3021582733813,-9.16906474820144,-292.4712230215827
LIEA,2020,181.77777777777777,-169.11111111111111,12.666666666666666
LIBD,2021,165.63333333333333,230.93333333333334,396.56666666666666
ENGM,2020,-30.328159645232816,171.69179600886918,141.36363636363637
LFGA,2020,1140.0,1129.0,2269.0
EKVG,2021,-1680.0,616.0,-1064.0
LMML,2020,194.7887323943662,367.50704225352115,562.2957746478874
LGIR,2021,235.232,124.648,359.88
EFHK,2020,-67.21578947368421,231.1315789473684,163.9157894736842
LEZL,2021,204.9873417721519,342.4620253164557,547.4493670886076
EGLC,2021,16.070967741935483,213.10645161290321,229.17741935483872
LPFR,2021,154.16475972540044,150.23569794050343,304.4004576659039
EKSB,2021,-172.5,-30.5,-203.0
LIRF,2020,30.702185792349727,-187.80054644808743,-157.0983606557377
ETSI,2020,-391.5,-183.0,-574.5
EDDC,2021,-5.923076923076923,170.80769230769232,164.8846153846154
EBCI,2021,1069.3333333333333,937.8888888888889,2007.2222222222222
LFLC,2020,240.0,666.0,906.0
LOWK,2020,-540.0,-226.0,-766.0
LFMN,2021,155.37136465324386,-147.92393736017897,7.447427293064877
EDDW,2021,-126.05,34.325,-91.725
EFIV,2021,180.0,166.0,346.0
LQTZ,2020,-5.275862068965517,59.206896551724135,53.93103448275862
LICT,2021,1440.0,1434.0,2874.0
LJMB,2020,-660.0,-403.0,-1063.0
LEST,2021,404.3703703703704,649.1111111111111,1053.4814814814815
EHEH,2020,664.6666666666666,138.33333333333334,803.0
EGKK,2020,-182.38198757763976,-41.2111801242236,-223.59316770186336
LZIB,2020,100.0,-320.3333333333333,-220.33333333333334
EGVN,2021,240.0,-811.0,-571.0
LFLL,2020,-34.1015037593985,122.89473684210526,88.79323308270676
LDZD,2020,-280.5,-405.6666666666667,-686.1666666666666
ESNX,2020,315.0,1098.0,1413.0
EYKA,2020,-369.1,-294.0,-663.1
LGIR,2020,-258.47058823529414,-363.8588235294118,-622.3294117647059
EHBK,2021,420.0,665.6666666666666,1085.6666666666667
EDDH,2020,-119.51381215469613,-244.04419889502762,-363.55801104972375
LIPH,2020,300.0,116.0,416.0
LHDC,2020,-126.35,-283.95,-410.3
LDRI,2020,-243.66666666666666,-241.66666666666666,-485.3333333333333
EDDN,2021,89.93119266055047,283.8807339449541,373.8119266055046
EYVI,2021,189.2108843537415,486.0204081632653,675.2312925170068
EVRA,2021,-39.424528301886795,358.6556603773585,319.2311320754717
EPKK,2020,-75.53225806451613,57.641129032258064,-17.891129032258064
EPGD,2020,-116.39366515837104,-142.0814479638009,-258.47511312217193
BIKF,2021,283.67469879518075,484.4759036144578,768.1506024096385
EGNX,2021,20.13157894736842,265.36842105263156,285.5
EGFF,2021,37.741379310344826,73.67241379310344,111.41379310344827
EGNT,2020,-230.148,-66.576,-296.724
LPFR,2020,163.17543859649123,94.00877192982456,257.1842105263158
EDDS,2020,-107.21005917159763,-157.81360946745562,-265.02366863905326
LFRS,2020,-27.084615384615386,345.8615384615385,318.7769230769231
LFPG,2021,124.5150631681244,270.4344023323615,394.9494655004859
EPKK,2021,69.12437810945273,67.96268656716418,137.0870646766169
LDSP,2021,174.1271676300578,415.64739884393066,589.7745664739884
ESSA,2021,79.63725490196079,334.17483660130716,413.812091503268
LPPT,2021,321.6171052631579,416.875,738.4921052631579
EGPE,2021,50.476190476190474,413.35714285714283,463.8333333333333
LFBD,2020,114.92822966507177,437.0430622009569,551.9712918660288
LGKF,2020,-64.5,-555.0,-619.5
EDDL,2021,19.533898305084747,122.51977401129943,142.0536723163842
LBSF,2021,101.82251082251082,118.53246753246754,220.35497835497836
EDDP,2021,270.83098591549293,350.11737089201876,620.9483568075117
EHAM,2021,-411.21875,-698.25,-1109.46875
LIML,2020,-234.58441558441558,162.33766233766235,-72.24675324675324
LRCK,2020,-410.0,-633.0,-1043.0
LFOK,2020,60.0,462.0,522.0
LEBL,2020,212.26998223801067,381.7708703374778,594.0408525754884
EGNJ,2020,-214.03703703703704,419.9259259259259,205.88888888888889
LFRT,2021,-390.0,-237.5,-627.5
LWSK,2020,-5.235294117647059,42.35294117647059,37.11764705882353
LEBB,2021,83.45188284518828,116.56485355648536,200.01673640167365
LEVC,2020,-62.88333333333333,24.323333333333334,-38.56
LIEO,2020,157.1,-626.85,-469.75
EDDF,2020,-46.91144414168937,-80.4550408719346,-127.36648501362397
LGAV,2021,181.59519038076152,264.49699398797594,446.0921843687375
EGHI,2020,-250.31578947368422,66.02631578947368,-184.28947368421052
EGAC,2020,-138.48837209302326,119.81395348837209,-18.674418604651162
EGNJ,2021,-86.0,226.07407407407408,140.07407407407408
EGPF,2020,-143.95185185185184,123.07407407407408,-20.877777777777776
LEMD,2020,78.9274193548387,325.95362903225805,404.88104838709677
EGNM,2020,-212.16959064327486,66.84210526315789,-145.32748538011697
EGFF,2020,-170.03030303030303,229.43434343434345,59.4040404040404
LDZA,2020,187.6051282051282,357.35897435897436,544.9641025641025
LBBG,2020,-752.3333333333334,-786.0,-1538.3333333333333
LGMT,2021,356.2857142857143,404.14285714285717,760.4285714285714
EGPH,2020,-186.14204545454547,144.67045454545453,-41.47159090909091
LIPZ,2020,115.68181818181819,-304.47474747474746,-188.7929292929293
LGKP,2020,-640.0,-259.3333333333333,-899.3333333333334
LGSA,2020,-302.72727272727275,-310.54545454545456,-613.2727272727273
LYBE,2021,284.8125,501.5669642857143,786.3794642857143
LERS,2021,326.6666666666667,-94.70370370370371,231.96296296296296
LPLA,2021,228.0,-164.0,64.0
ENZV,2021,42.72727272727273,164.35177865612647,207.07905138339922
LOWI,2021,132.49397590361446,228.18072289156626,360.67469879518075
LEGE,2020,-133.3095238095238,-199.0,-332.3095238095238
EYVI,2020,-129.87603305785123,342.0082644628099,212.13223140495867
EGLC,2020,-144.55710306406687,101.958217270195,-42.598885793871865
EHRD,2020,440.0,539.6666666666666,979.6666666666666
EBLG,2020,-783.2424242424242,203.15151515151516,-580.0909090909091
EGKK,2021,-32.97202797202797,-21.46153846153846,-54.43356643356643
EBOS,2021,0.0,-59.0,-59.0
LFLS,2020,180.0,162.5,342.5
EFRO,2020,-514.0,-263.3333333333333,-777.3333333333334
EGGD,2021,52.005,379.42,431.425
EGLL,2021,108.3290780141844,732.0382978723404,840.3673758865248
LIML,2021,-27.78118609406953,353.5071574642127,325.72597137014316
LICC,2020,135.29761904761904,-221.0,-85.70238095238095
LIRQ,2020,121.57065217391305,608.445652173913,730.0163043478261
LEIB,2020,-233.8447204968944,-500.01863354037266,-733.8633540372671
LGRP,2020,-298.125,-253.625,-551.75
LICC,2021,282.4920634920635,56.214285714285715,338.7063492063492
EKKA,2020,720.0,419.6666666666667,1139.6666666666667
ESMX,2020,-231.73333333333332,204.46666666666667,-27.266666666666666
EKCH,2020,-134.18845500848897,37.22920203735144,-96.95925297113752
LEZL,2020,-1.5980392156862746,212.07843137254903,210.48039215686273
EGCC,2021,180.701244813278,178.0954356846473,358.7966804979253
LFST,2020,177.14583333333334,211.35416666666666,388.5
EYKA,2021,-150.0,-367.5,-517.5
EDMA,2020,-570.0,-542.5,-1112.5
LHBP,2020,-76.80672268907563,16.41456582633053,-60.3921568627451
BIKF,2020,-52.88461538461539,-132.10256410256412,-184.98717948717947
LEST,2020,-131.16666666666666,394.77777777777777,263.6111111111111
LIPB,2021,71.0,-336.5,-265.5
EBBR,2020,-33.869281045751634,149.3986928104575,115.52941176470588
LFSB,2020,-77.727969348659,39.48275862068966,-38.24521072796935
ENDU,2020,84.0,83.2,167.2
EGLF,2020,-660.0,-474.0,-1134.0
EGNV,2021,-60.42307692307692,251.03846153846155,190.6153846153846
LQSA,2021,356.18518518518516,499.77777777777777,855.9629629629629
EDDN,2020,-165.09604519774012,163.05649717514123,-2.0395480225988702
LIMJ,2021,144.40449438202248,397.76404494382024,542.1685393258427
LRIA,2021,21.363636363636363,269.95454545454544,291.3181818181818
LPBJ,2020,660.0,129.0,789.0
LIMF,2021,154.3046875,317.4453125,471.75
LIPO,2021,240.0,182.0,422.0
LEMG,2021,245.48727272727274,433.20363636363635,678.6909090909091
EFKS,2021,615.0,1244.75,1859.75
EPWA,2020,5.7729591836734695,-104.61224489795919,-98.83928571428571
ETNL,2020,-660.0,-910.0,-1570.0
LICT,2020,320.0,271.6666666666667,591.6666666666666
LESO,2021,762.0,802.0,1564.0
EGPB,2021,-480.0,-2153.0,-2633.0
EICK,2020,-251.64814814814815,167.88888888888889,-83.75925925925925
LGSK,2021,-225.0,59.25,-165.75
EPGD,2021,-5.731843575418995,-55.63687150837989,-61.36871508379888
LJLJ,2021,179.0857142857143,427.77142857142854,606.8571428571429
LOWS,2020,-109.53086419753086,-418.1358024691358,-527.6666666666666
LPPR,2020,37.63636363636363,208.1818181818182,245.8181818181818
LIMC,2020,63.888361045130644,-468.3895486935867,-404.50118764845604
EINN,2020,40.0,99.0,139.0
EDDF,2021,63.53562340966921,-483.9643765903308,-420.4287531806616
EKYT,2021,28.626315789473683,429.1578947368421,457.7842105263158
LHDC,2021,141.3913043478261,-58.69565217391305,82.69565217391305
LPPT,2020,185.9721189591078,300.10408921933083,486.07620817843866
BIAR,2020,-500.0,-437.6666666666667,-937.6666666666666
LGSM,2021,241.5151515151515,410.030303030303,651.5454545454545
LRIA,2020,-225.8181818181818,-326.45454545454544,-552.2727272727273
LFMT,2021,199.08955223880596,-16.44776119402985,182.6417910447761
LIEA,2021,467.375,795.125,1262.5
LDDU,2021,101.66071428571429,216.51785714285714,318.17857142857144
LQTZ,2021,-23.689655172413794,88.93103448275862,65.24137931034483
EBLG,2021,-354.0769230769231,-301.38461538461536,-655.4615384615385
EDFM,2020,840.0,440.0,1280.0
EHAM,2020,-60.0,-80.92592592592592,-140.92592592592592
LEGR,2020,1320.0,1439.0,2759.0
LDDU,2020,-179.625,-232.625,-412.25
LFBD,2021,123.45627376425855,450.3079847908745,573.7642585551331
LFBE,2021,18.08,-97.36,-79.28
EGNX,2020,-178.1206896551724,-322.2758620689655,-500.3965517241379
ENDU,2021,-353.4,-173.8,-527.2
LEVC,2021,172.998046875,184.03125,357.029296875
LICJ,2020,-139.77777777777777,-315.1111111111111,-454.8888888888889
ENCN,2021,34.34177215189873,394.253164556962,428.59493670886076
EPWR,2020,-215.98850574712642,-293.14942528735634,-509.13793103448273
EPMO,2020,-191.55172413793105,-421.48275862068965,-613.0344827586207
LKPR,2020,29.710762331838566,-58.652466367713004,-28.94170403587444
EDDM,2021,86.68558282208589,220.7883435582822,307.4739263803681
EGPH,2021,55.02873563218391,465.38505747126436,520.4137931034483
LPMA,2020,42.61290322580645,328.5806451612903,371.19354838709677
EDDR,2021,240.0,270.0,510.0
LIMC,2021,173.2980132450331,-307.1081677704194,-133.8101545253863
EDFH,2021,1620.0,2260.0,3880.0
EDDT,2020,-94.0406779661017,199.6542372881356,105.6135593220339
EPRZ,2020,-495.25,-424.25,-919.5
LIRZ,2021,-89.27777777777777,32.27777777777778,-57.0
LFBE,2020,-149.38888888888889,-232.11111111111111,-381.5
EPLB,2021,-154.05,30.95,-123.1
LPBJ,2021,420.0,438.0,858.0
EVRA,2020,-131.1021505376344,198.8279569892473,67.7258064516129
LGSA,2021,394.74074074074076,612.0370370370371,1006.7777777777778
LFML,2020,54.84571428571429,200.30857142857144,255.15428571428572
LEZG,2020,-288.5625,289.71875,1.15625
LSZH,2020,43.12090163934426,62.467213114754095,105.58811475409836
LDPL,2020,74.0,208.0,282.0
EDDS,2021,122.88724035608308,91.1454005934718,214.0326409495549
EDDB,2021,76.22222222222223,516.1441441441441,592.3663663663664
ENCN,2020,-275.468085106383,248.5744680851064,-26.893617021276597
LROP,2021,175.12727272727273,-9.481818181818182,165.64545454545456
EGNT,2021,16.637323943661972,179.5281690140845,196.16549295774647
LQBK,2021,-223.9375,-275.875,-499.8125
EGCN,2020,60.0,263.0,323.0
LIRN,2021,226.34567901234567,355.2345679012346,581.5802469135803
LEIB,2021,209.52443609022558,34.68984962406015,244.21428571428572
LFRQ,2020,180.0,398.0,578.0
LMML,2021,1022.1944444444445,1117.75,2139.9444444444443
LSZS,2021,1080.0,1296.0,2376.0
EGMC,2020,126.53333333333333,49.4,175.93333333333334
LFRS,2021,214.8230769230769,565.9846153846154,780.8076923076923
LEBB,2020,-102.47586206896551,3.303448275862069,-99.17241379310344
LIRF,2021,123.14222873900293,-42.22727272727273,80.91495601173021
EIDW,2020,-134.6454005934718,-185.7091988130564,-320.35459940652817
LATI,2020,-20.1875,-85.8125,-106.0
LGSM,2020,-41.53846153846154,184.69230769230768,143.15384615384616
LFTH,2021,36.92307692307692,-313.6923076923077,-276.7692307692308
LZKZ,2021,120.0,190.0,310.0
EHTW,2021,0.0,34.0,34.0
LIRP,2020,-67.81333333333333,235.73333333333332,167.92
LFAC,2020,60.0,-24.0,36.0
EPMO,2021,132.0,89.53658536585365,221.53658536585365
LSGG,2020,-64.30904522613065,-178.61557788944722,-242.9246231155779
EDDB,2020,-101.30386740331491,55.773480662983424,-45.530386740331494
LFST,2021,114.29113924050633,25.658227848101266,139.9493670886076
LJLJ,2020,-52.35,55.45,3.1
EPPO,2021,52.30508474576271,18.694915254237287,71.0
LGTS,2021,207.36697247706422,246.348623853211,453.7155963302752
LEBL,2021,219.02886405959032,425.6219739292365,644.6508379888268
LSZH,2021,180.69402985074626,329.77985074626866,510.4738805970149
ENBR,2021,-51.208480565371026,78.31095406360424,27.102473498233216
EGBB,2020,-220.3791469194313,-456.4075829383886,-676.7867298578199
LOWG,2020,-178.45,173.05,-5.4
LFPB,2021,375.0,498.25,873.25
LROP,2020,121.54368932038835,-104.08090614886731,17.462783171521036
EGGP,2020,-246.5211267605634,-399.92957746478874,-646.4507042253521
LGAV,2020,47.33613445378151,4.652661064425771,51.98879551820728
EGNV,2020,-256.3623188405797,-60.88405797101449,-317.2463768115942
LBWN,2021,225.0,-143.53333333333333,81.46666666666667
LATI,2021,256.15,285.1,541.25
LFLB,2020,1137.6,1039.0,2176.6
EBCI,2020,608.5714285714286,521.1428571428571,1129.7142857142858
LFQB,2020,780.0,473.0,1253.0
ESKS,2021,-60.0,-12.0,-72.0
LGPZ,2021,177.96774193548387,388.7741935483871,566.741935483871
LRBS,2021,1346.0,1563.0,2909.0
LEMG,2020,58.8860510805501,165.8271119842829,224.713163064833
EKBI,2020,-232.858934169279,201.6269592476489,-31.231974921630094
ENKR,2020,-240.0,1625.0,1385.0
ETNL,2021,240.0,848.0,1088.0
LFRN,2021,142.60526315789474,403.1842105263158,545.7894736842105
EGGW,2020,-28.55,218.91,190.36
LFPO,2021,-216.48717948717947,-203.07692307692307,-419.56410256410254
LIRN,2020,26.836734693877553,49.44897959183673,76.28571428571429
EICK,2021,63.17142857142857,506.4142857142857,569.5857142857143
LSGG,2021,47.604206500956025,67.91586998087953,115.52007648183556
LGKR,2020,-330.54545454545456,-221.5909090909091,-552.1363636363636
ENAL,2021,-16.361702127659573,174.2340425531915,157.87234042553192
LEPA,2020,-326.6203703703704,-209.80555555555554,-536.425925925926
LIMJ,2020,-19.88235294117647,439.5098039215686,419.62745098039215
EBBR,2021,112.75291375291376,313.26573426573424,426.01864801864804
EGHI,2021,-55.65625,327.28125,271.625
LOWI,2020,-38.925233644859816,-185.4392523364486,-224.3644859813084
LFAQ,2020,-420.0,-221.0,-641.0
EDHI,2020,1507.0,1138.0,2645.0
LPMA,2021,295.27777777777777,653.7037037037037,948.9814814814815
LIEO,2021,463.45762711864404,145.03389830508473,608.4915254237288
EDDM,2020,-42.42987249544627,335.13479052823317,292.7049180327869
LFRN,2020,8.566666666666666,76.36666666666666,84.93333333333334
LFJL,2020,-180.0,-34.0,-214.0
ETSI,2021,-900.0,-1254.0,-2154.0
EGSY,2021,1558.0,2504.5,4062.5
LOWS,2021,-54.345454545454544,-288.6909090909091,-343.03636363636366
LGRP,2021,205.26530612244898,223.30612244897958,428.57142857142856
LIEE,2021,112.92,260.0,372.92
LRCL,2021,22.58490566037736,70.22641509433963,92.81132075471699
LDZD,2021,133.20689655172413,213.51724137931035,346.7241379310345
LPPR,2021,216.61458333333334,429.2395833333333,645.8541666666666
LGSR,2021,190.71428571428572,614.8571428571429,805.5714285714286
EGPD,2020,-200.80073800738006,57.29520295202952,-143.50553505535055
LFBO,2020,41.89047619047619,154.0095238095238,195.9
EGPE,2020,-183.6,-46.68,-230.28
ENAL,2020,-179.72222222222223,190.16666666666666,10.444444444444445
LEAM,2020,-720.0,-942.0,-1662.0
EPRZ,2021,558.4285714285714,1181.5714285714287,1740.0
EGCC,2020,-112.94477317554241,-257.7455621301775,-370.69033530571994
EGGD,2020,-187.9438202247191,123.45318352059925,-64.49063670411985
LWOH,2021,852.4285714285714,722.5714285714286,1575.0
LIRQ,2021,189.4375,567.16796875,756.60546875
EDDL,2020,-122.16442953020135,-88.74496644295301,-210.90939597315437
LGTS,2020,256.6307692307692,290.5846153846154,547.2153846153847
LGKO,2021,318.1732283464567,372.38582677165357,690.5590551181102
ENTO,2020,-229.37735849056602,30.452830188679247,-198.9245283018868
LRAR,2020,-420.0,-89.5,-509.5
LFBO,2021,129.48363636363635,297.3309090909091,426.81454545454545
ESSL,2020,-286.2170542635659,185.7829457364341,-100.43410852713178
LEZG,2021,112.79545454545455,505.4318181818182,618.2272727272727
LRCL,2020,-241.3548387096774,-312.4516129032258,-553.8064516129032
LFPB,2020,331.3333333333333,488.3333333333333,819.6666666666666
EGBB,2021,-117.41330166270784,-188.10451306413302,-305.51781472684087
LUKK,2021,165.75,351.25,517.0
ELLX,2020,-87.34274193548387,278.4274193548387,191.08467741935485
EDDG,2020,340.0,267.0,607.0
LGSR,2020,-193.33333333333334,14.555555555555555,-178.77777777777777
LFSB,2021,12.955631399317406,9.491467576791809,22.447098976109213
LIME,2021,145.0,-257.98214285714283,-112.98214285714286
EPWR,2021,17.08888888888889,-38.21111111111111,-21.122222222222224
LBBG,2021,249.90625,-51.5,198.40625
EKYT,2020,-194.85026737967914,233.59893048128342,38.74866310160428
EDDP,2020,118.03664921465969,144.4240837696335,262.4607329842932
LFML,2021,369.8724489795918,489.92857142857144,859.8010204081633
EGAC,2021,-93.55384615384615,128.86153846153846,35.30769230769231
LEAL,2020,-63.824833702882486,50.03769401330377,-13.787139689578714
EGTE,2020,373.8333333333333,195.83333333333334,569.6666666666666
LIPR,2020,1521.75,1529.0,3050.75
LIEE,2020,132.53333333333333,211.0,343.53333333333336
LICJ,2021,89.15789473684211,9.894736842105264,99.05263157894737
LIRA,2020,-225.375,-324.25,-549.625
ENGM,2021,45.04007285974499,230.88342440801458,275.92349726775956
LIPO,2020,840.0,890.0,1730.0
LOWG,2021,13.744186046511627,358.04651162790697,371.7906976744186
EDDC,2020,-176.34146341463415,336.9024390243902,160.5609756097561
LEAL,2021,132.7688243064729,337.6816380449141,470.45046235138705
EGAA,2021,288.81081081081084,410.5945945945946,699.4054054054054
LFRM,2021,41.0,-822.0,-781.0
EGCN,2021,300.0,748.0,1048.0
EGGP,2021,-2.7,-211.3,-214.0
LGMK,2021,217.3181818181818,271.8181818181818,489.1363636363636
EFKT,2020,-22.0625,364.8125,342.75
LIPE,2021,140.1536231884058,208.3217391304348,348.47536231884055
LGMK,2020,-246.3,156.3,-90.0
ESGG,2021,12.125,245.7201086956522,257.8451086956522
ESSL,2021,-104.80952380952381,176.13095238095238,71.32142857142857
EHBK,2020,132.0,564.2,696.2
EFIV,2020,-540.0,439.0,-101.0
LGZA,2021,309.09090909090907,571.7840909090909,880.875
EKKA,2021,-585.0,-190.75,-775.75
LIPZ,2021,53.9013698630137,-265.47945205479454,-211.57808219178082
LHBP,2021,79.71370143149284,234.55419222903885,314.2678936605317
EFRO,2021,1260.0,1278.0,2538.0
LIME,2020,-252.25641025641025,-741.0769230769231,-993.3333333333334
ESOE,2020,-240.0,667.0,427.0
LKPR,2021,51.56356736242884,143.37381404174573,194.93738140417457
EGGW,2021,-138.56363636363636,111.43636363636364,-27.12727272727273
ENTC,2020,-240.0,510.0,270.0
LGKO,2020,-212.74285714285713,-326.8285714285714,-539.5714285714286
LIRZ,2020,-13.333333333333334,7.111111111111111,-6.222222222222222
EINN,2021,-454.6666666666667,109.0,-345.6666666666667
LDSP,2020,-116.06060606060606,267.72727272727275,151.66666666666666
LDPL,2021,-120.47368421052632,-86.10526315789474,-206.57894736842104
LFLS,2021,0.0,278.0,278.0
ENBR,2020,-189.94957983193277,24.11764705882353,-165.83193277310923
EHRD,2021,-120.0,485.0,365.0
LGKL,2021,45.875,537.25,583.125
LYBE,2020,173.4655172413793,323.42241379310343,496.88793103448273
LGPZ,2020,58.89655172413793,231.24137931034483,290.13793103448273
EPKT,2021,100.47916666666667,120.9375,221.41666666666666
EPWA,2021,149.4896551724138,1.0689655172413792,150.55862068965519
EIDW,2021,83.17447916666667,176.24609375,259.4205729166667
EFHK,2021,104.59677419354838,449.073732718894,553.6705069124424
LDZA,2021,224.70473537604457,369.44289693593316,594.1476323119778
ESMS,2021,376.0,2940.0,3316.0
LIRP,2021,205.19230769230768,533.8846153846154,739.0769230769231
LEAM,2021,-52.26315789473684,-153.68421052631578,-205.94736842105263
EGTK,2021,-720.0,43.0,-677.0
LIBR,2021,85.58333333333333,142.97222222222223,228.55555555555554
EDDK,2021,1300.8,883.0,2183.8
EDHI,2021,-1035.0,-273.0,-1308.0
ENZV,2020,-194.5115207373272,59.327188940092164,-135.18433179723502
LFMN,2020,-36.41554054054054,-125.9358108108108,-162.35135135135135
EDDK,2020,-566.6666666666666,-625.1666666666666,-1191.8333333333333
EGLL,2020,-69.70431472081218,483.6802030456853,413.9758883248731
LGZA,2020,-222.51351351351352,-255.21621621621622,-477.72972972972974
LEPA,2021,341.78851174934726,404.99477806788514,746.7832898172323
LGKL,2020,60.0,320.6363636363636,380.6363636363636
EDDV,2021,-21.434782608695652,76.57971014492753,55.14492753623188
EFKT,2021,435.0,851.875,1286.875
EGAA,2020,-122.08823529411765,284.5882352941176,162.5
LEJR,2021,-360.0,-1005.0,-1365.0
ESSA,2020,-10.40169133192389,266.6384778012685,256.2367864693446
LIPX,2021,158.88732394366198,285.7042253521127,444.59154929577466
EGLF,2021,-225.0,559.0,334.0
LQSA,2020,540.0,744.0,1284.0
ENVA,2021,16.851063829787233,348.7163120567376,365.5673758865248
EGSH,2020,-295.90434782608696,-203.88695652173914,-499.7913043478261
LIPE,2020,119.21917808219177,278.0068493150685,397.2260273972603
LIMF,2020,79.77142857142857,532.2714285714286,612.0428571428571
LBWN,2020,-121.02380952380952,-491.6190476190476,-612.6428571428571
LFQQ,2021,600.0,396.0,996.0
LSZB,2021,-648.5,93.5,-555.0
LKMT,2020,480.0,-132.0,348.0
LRCK,2021,7.0,-851.6666666666666,-844.6666666666666
EBAW,2021,-420.0,82.0,-338.0
EGHH,2021,1380.0,1606.0,2986.0
LXGB,2021,-60.0,943.0,883.0
EDDE,2021,240.0,-544.0,-304.0
